#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1895C
#Date Time: 2017-05-13 21:07::22.037

Time (s),Channel 1 (V),Channel 2 (V)
-0.0046403409090909099,1.0500906414139692,-0.17158608227975697
-0.0046390909090909095,1.0101303706234761,-0.16821878960656095
-0.0046378409090909092,1.026780483452842,-0.17158608227976158
-0.0046365909090909097,1.0034703254917254,-0.17158608227976158
-0.0046353409090909093,0.99348025779409987,-0.16821878960656095
-0.0046340909090909098,0.99681028035997488,-0.17158608227976158
-0.0046328409090909094,0.96684007726709709,-0.16821878960656095
-0.0046315909090909099,0.98349019009646621,-0.17495337495295943
-0.0046303409090909095,0.94685994187184541,-0.16821878960656095
-0.0046290909090909091,0.95685000956946398,-0.17158608227976463
-0.0046278409090909096,0.94019989674009485,-0.17832066762616311
-0.0046265909090909092,0.92687980647659673,-0.16821878960656556
-0.0046253409090909097,0.9335398516083443,-0.17832066762616311
-0.0046240909090909093,0.9002396259495915,-0.17495337495296248
-0.0046228409090909098,0.91355971621309262,-0.18168796029936374
-0.0046215909090909094,0.88358951312021483,-0.17495337495296248
-0.0046203409090909099,0.88691953568608828,-0.1715860822797631
-0.0046190909090909095,0.87359944542258872,-0.17495337495296248
-0.0046178409090909091,0.8569493325932187,-0.17158608227976618
-0.0046165909090909096,0.87026942285671371,-0.18168796029936374
-0.0046153409090909092,0.83363917463208836,-0.17158608227976463
-0.0046140909090909097,0.84029921976383593,-0.17832066762616311
-0.0046128409090909093,0.81365903923683369,-0.18168796029936374
-0.0046115909090909098,0.81365903923683369,-0.17495337495296248
-0.0046103409090909094,0.81032901667095814,-0.18505525297256437
-0.0046090909090909099,0.77702879101222044,-0.17158608227976771
-0.0046078409090909095,0.79367890384158146,-0.18505525297256437
-0.0046065909090909091,0.75371863305108566,-0.17832066762616464
-0.0046053409090909096,0.77036874588045479,-0.18168796029936374
-0.0046040909090909092,0.743728565353452,-0.18168796029936374
-0.0046028409090909097,0.73706852022170144,-0.17832066762616311
-0.0046015909090909093,0.73706852022170144,-0.18842254564576527
-0.0046003409090909098,0.71042833969471131,-0.17832066762616772
-0.0045990909090909094,0.72707845252407588,-0.18842254564576527
-0.0045978409090909099,0.68378815916771662,-0.18168796029936679
-0.0045965909090909095,0.69710824943119809,-0.18168796029936374
-0.0045953409090909092,0.67046806890419131,-0.18505525297256284
-0.0045940909090909096,0.66047800120656974,-0.18168796029936374
-0.0045928409090909093,0.66047800120656974,-0.1917898383189659
-0.0045915909090909098,0.63050779811369195,-0.18505525297256437
-0.0045903409090909094,0.64049786581131807,-0.18842254564576527
-0.0045890909090909099,0.61052766271845393,-0.18505525297256589
-0.0045878409090909095,0.61385768528431528,-0.18842254564576527
-0.00458659090909091,0.59720757245494671,-0.19515713099216347
-0.0045853409090909096,0.58388748219143805,-0.18842254564576527
-0.0045840909090909092,0.58721750475729795,-0.19178983831896285
-0.0045828409090909097,0.55391727909856026,-0.18505525297256437
-0.0045815909090909093,0.56057732423031081,-0.18842254564576527
-0.0045803409090909098,0.52727709857155747,-0.18842254564576527
-0.0045790909090909094,0.53393714370330803,-0.18842254564576527
-0.0045778409090909099,0.52061705343981302,-0.19515713099216347
-0.0045765909090909095,0.50063691804455523,-0.18505525297256437
-0.0045753409090909091,0.51062698574216314,-0.19852442366536102
-0.0045740909090909096,0.47066671495167745,-0.18505525297256437
-0.0045728409090909092,0.48731682778103896,-0.195157130992165
-0.0045715909090909097,0.45401660212230133,-0.1917898383189659
-0.0045703409090909093,0.45068657955642577,-0.18842254564576527
-0.0045690909090909098,0.4340364667270491,-0.19515713099216653
-0.0045678409090909094,0.41738635389767298,-0.18505525297256437
-0.0045665909090909099,0.43070644416116804,-0.19852442366536102
-0.0045653409090909095,0.38408612823891963,-0.18842254564576527
-0.0045640909090909091,0.40406626363415465,-0.1917898383189659
-0.0045628409090909096,0.36743601540954351,-0.1917898383189659
-0.0045615909090909092,0.37076603797541097,-0.18842254564576988
-0.0045603409090909097,0.35411592514604184,-0.19852442366536716
-0.0045590909090909093,0.33746581231666573,-0.18842254564576527
-0.0045578409090909098,0.34412585744841323,-0.20189171633856165
-0.0045565909090909094,0.31082563178966294,-0.19515713099216653
